batch_id,time_h,temperature_C,pH,DO_percent,C_glucose_g_L^-1,C_biomass_g_L^-1,C_product_g_L^-1
1,0.0,35.0,5.47,89.4,98.6,1.7,-0.6
1,0.5,35.0,5.42,89.6,97.9,2.1,1.6
1,1.0,35.2,5.4,80.2,95.4,2.2,3.7
1,1.5,35.2,5.48,78.3,91.0,1.9,6.3
1,2.0,35.1,5.49,75.2,90.0,1.9,7.4
1,2.5,35.3,5.41,74.2,86.7,1.8,8.6
1,3.0,35.6,5.35,68.8,84.9,2.2,10.7
1,3.5,35.5,5.44,66.0,81.1,2.0,12.3
1,4.0,35.2,5.31,61.3,80.9,2.5,13.3
1,4.5,35.2,5.33,63.3,79.1,1.7,15.6
1,5.0,35.3,5.38,60.9,76.4,2.1,15.4
1,5.5,35.5,5.22,56.0,74.2,2.1,17.5
1,6.0,35.1,5.34,54.9,67.9,1.9,19.2
1,6.5,35.5,5.28,49.8,70.0,2.2,19.4
1,7.0,35.4,5.3,49.3,67.8,1.6,21.4
1,7.5,35.5,5.28,50.9,65.8,2.6,23.0
1,8.0,35.6,5.28,46.5,63.5,1.6,23.6
1,8.5,35.6,5.3,48.9,62.4,2.3,23.5
1,9.0,35.8,5.21,40.9,61.1,1.7,25.0
1,9.5,36.0,5.31,41.9,58.7,2.4,26.9
1,10.0,35.7,5.26,38.7,56.9,2.0,27.3
1,10.5,36.0,5.26,38.6,57.0,2.2,28.0
1,11.0,35.7,5.26,36.0,53.2,2.3,29.0
1,11.5,35.9,5.23,33.4,53.8,2.9,30.0
1,12.0,36.0,5.23,31.4,51.5,2.8,30.0
1,12.5,35.8,5.18,37.9,49.1,2.5,30.9
1,13.0,35.7,5.09,30.3,48.3,3.9,31.8
1,13.5,35.6,5.15,25.2,46.3,5.3,32.1
1,14.0,35.7,5.11,26.7,46.6,6.7,33.0
1,14.5,35.8,5.07,28.2,45.0,9.0,34.3
1,15.0,35.6,5.14,24.8,42.9,11.3,33.8
1,15.5,35.7,5.09,27.5,41.2,13.2,35.8
1,16.0,35.7,5.06,25.7,41.4,14.7,36.3
1,16.5,35.8,5.05,22.5,40.9,17.1,35.0
1,17.0,35.7,5.11,20.9,38.8,18.2,36.3
1,17.5,35.7,5.1,18.9,38.2,18.5,37.0
1,18.0,35.5,5.14,18.7,36.4,19.8,36.9
1,18.5,35.6,5.07,16.3,35.8,19.4,37.4
1,19.0,35.7,5.11,20.9,34.5,19.3,38.0
1,19.5,35.8,5.13,20.9,34.1,19.8,38.9
1,20.0,35.2,5.11,14.5,31.4,20.2,38.7
1,20.5,35.7,4.92,13.9,32.7,19.6,40.2
1,21.0,35.7,5.09,12.1,30.9,20.5,39.8
1,21.5,35.5,5.04,13.1,30.6,19.7,39.9
1,22.0,35.4,5.04,8.2,29.1,20.3,41.1
1,22.5,35.2,5.03,11.5,29.0,20.2,41.0
1,23.0,35.5,5.03,15.8,26.8,19.9,41.1
1,23.5,35.6,5.02,12.0,28.3,20.3,41.1
1,24.0,35.5,4.98,13.9,24.7,19.5,42.4
1,24.5,35.3,4.89,10.7,24.6,20.4,42.2
1,25.0,35.1,4.98,14.7,25.2,20.0,41.9
1,25.5,34.7,4.94,11.1,25.7,19.8,41.5
1,26.0,34.9,5.02,9.5,23.9,20.2,42.7
1,26.5,35.0,4.95,15.0,22.7,20.3,42.2
1,27.0,34.6,4.96,8.8,20.9,20.2,42.1
1,27.5,34.8,4.91,6.7,21.5,20.6,43.0
1,28.0,34.8,4.92,9.1,21.1,20.3,43.5
1,28.5,34.8,4.94,8.3,22.2,20.4,44.2
1,29.0,34.4,4.86,10.2,20.6,19.8,43.9
1,29.5,34.5,4.95,5.9,17.9,20.0,44.3
1,30.0,34.5,4.92,9.0,20.9,20.2,43.4
1,30.5,34.3,4.87,8.8,18.0,20.0,44.2
1,31.0,34.8,4.8,5.5,17.0,20.1,44.4
1,31.5,34.3,4.94,6.8,18.9,20.1,45.0
1,32.0,34.5,4.9,4.6,16.9,20.3,44.7
1,32.5,34.3,4.88,10.7,16.1,20.0,45.2
1,33.0,34.7,4.89,4.3,16.2,19.9,44.7
1,33.5,34.6,4.99,4.6,16.4,19.8,45.2
1,34.0,34.4,4.89,3.2,16.1,19.7,45.4
1,34.5,33.8,4.89,4.4,13.3,20.4,44.7
1,35.0,34.3,4.81,4.9,16.3,20.0,45.5
1,35.5,34.4,4.96,6.2,14.9,20.2,45.3
1,36.0,34.4,4.92,3.3,13.2,19.6,44.7
1,36.5,34.1,4.93,3.9,12.3,19.4,46.2
1,37.0,34.6,4.87,1.3,11.8,19.7,45.6
1,37.5,33.9,4.91,2.3,12.6,20.3,45.5
1,38.0,34.1,4.88,9.3,11.5,20.3,45.8
